gene,ACC,BLCA,BRCA,CESC,CHOL,COAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS
A1BG,-0.17255462584566583,0.04051420558512664,0.7836217729741968,-1.9265181591763927,-7.274315408388745,-0.9085417037818044,2.625774241999134,-0.7122447751664489,0.7766553123414042,1.2655979453676962,-1.8485720753505037,0.3308484125622959,0.00725970867827419,-1.3350916839757843,-0.22196888219040645,-0.3093559038452849,-0.04351481277338731,-0.21341857070534953,0.499132149102826,0.9503443208222988,3.438363808073392,-1.4908037501702616,-0.9953954126964222,1.6597632542012382,2.025368569823484,-0.4596868608855189,0.9935068692991056,0.5174942304937238,2.7985287532077203,-1.343287562544794,0.9916336147654361
AAK1,-0.629853990988964,0.002860252579516054,-0.029863226548644928,-0.19022533758845794,2.0950148600905476,-0.367571597956744,-0.422636389963027,2.005331571994877,-0.6241326349375891,0.6977511542391546,-0.43058063447123507,-0.6027097893042068,-0.08197230677953016,2.6533520513537656,-0.19522441586356898,0.41143452065083297,-0.3856857766892796,0.017067147816486106,2.0019796191743793,0.45943378468976626,0.22527933340945205,0.4241621078471298,-0.3503671230923584,0.7395344477886647,-0.21899517983425065,1.1227119672198191,-1.06905585329097,-0.9492961405993463,1.0095659779072523,-1.0406933272501435,-0.7525457624870038
AAMP,0.11583074595959975,0.054232577529235826,0.27389693664983383,-0.0993829948103695,1.2523188431102694,0.6126366701395343,2.2797058714028076,0.000154851762856012,0.8074095263902255,0.29537075423888304,-0.9584279272586738,0.07471133243342187,-0.027053243827859674,-0.7109940948613724,1.097797347838367,0.6212189159713741,0.4547191553451295,0.5747380765132357,-0.4656273043702841,1.650231729764747,0.13198372736294406,0.44850353320248626,0.5719576348104107,0.11258251282682874,0.42649923126269673,-0.006619323947820277,0.4907376725705692,0.012007641722729723,2.907263665005142,0.2026832207387086,0.41613639883398346
ABCA1,-2.9129149675399493,-1.195923601194385,-1.211054425245361,-0.165318741740621,-1.5623826126686624,-1.5292156644727322,0.8491291290800681,0.17365316531321717,2.4301704870215897,1.010291420141424,0.30417179058231447,1.4487763404330396,0.8354256368900734,2.4507759863613865,2.4315683379362327,-0.6603927668928007,-0.8528836028367857,-0.507904600678593,-0.3808177853345214,1.1947488718554993,-3.0379024915649118,-0.46878273531677017,-1.5972860582670807,0.7778804868418097,-0.9124184619008218,0.8020833538939591,0.9449173535058719,-0.008012435058472267,1.7309848802209649,-0.8005302869775868,-0.9778411424435602
ABCA2,0.01376685458321969,-0.16439418089040014,-0.012843955942759777,-0.17292273565794058,1.1717710314846403,-0.19044223600022203,-0.8826775151371811,-0.02531786057657559,-1.6169340780551131,0.44604415317861257,0.7157903781631534,0.23338393249539546,0.1950027320414094,1.6444349169190007,-0.7261936418349979,0.32852582617838433,-0.43812257862309334,-0.7874606962748549,0.2729198501070407,1.27929974800761,2.5070960492338603,0.1572940024038303,-0.22055545828518497,-0.13211450972024696,0.36336183117292187,-0.44045619113792966,-1.1152033376830865,-0.1265709304947551,0.46466149344400254,0.22877566517347248,0.38829374884698
ABCA3,0.04185473798329298,-1.1605235031859065,1.1245721013202958,0.07570334556485392,2.712692732288188,-1.6622692518135433,0.382898405365694,-1.0855906609540613,0.3225998715674887,-0.33033582934391226,0.14699147018885972,0.8112967904357298,1.414721607404172,-1.2824093409873276,1.2315470342252217,0.35749993211761955,-2.072296300530339,-4.069130399739741,0.6991932272605483,-0.12292884153518324,1.9662231951667257,0.8525170639873032,-1.8450160498836348,-0.4361474093015474,0.18601725187532336,0.31113514985847024,-1.7367963620037181,-0.568608900166188,3.581461308615266,-0.8398099964257437,-0.49517441096028003
ABCA4,0.017168099541170295,0.08151548812170967,-0.30611255134693316,0.08837761116761628,-0.030480070778931306,-0.12785279776104191,0.0779929253200549,0.04839065790212016,0.0013372515028909349,0.195306210122278,-1.2881841886011518,-0.9202673237373981,-0.9352063850427268,-0.015827767212970637,-0.06808737053102237,0.06542237624118064,0.9007273124969664,0.23095794758037413,0.7371941226275414,0.1683508233292966,0.06116481047918371,-0.2536873961695282,-0.13603101556734892,-0.1634129445401128,-0.67038981941805,0.013068423904401216,-0.48181656199540557,-0.07768594885546809,0.532698835199455,0.636679886444109,0.35433846159432264
ABCA5,-1.0792213185929573,-0.4459251636358892,-1.805455637321046,-0.7791046552164826,-0.7481634058985414,-1.286702499856617,0.5541874078549531,-0.7420357691759882,-1.3531049693248072,-0.46339166570251855,0.10738835637627897,-0.19833498485089995,-0.5168716580989146,1.5823542113779085,-2.1682121059535087,-0.6862060907768015,-1.1018977865595403,-0.5720723054851424,-2.700614659807407,-1.4403465830157391,0.20121746209342728,-0.8129167497166536,-1.3994131691318201,-0.7957673866255341,-1.8308239929366326,-1.0845829219877574,-2.6053715099128665,-1.1978783166271088,1.7074727668116458,-0.8951866595382221,-1.429814427503021
ABCA6,-2.0276193212952864,-2.4391540067705506,-3.235161371163751,-3.5648518176669297,-3.8723947479079577,-2.9839164242445806,2.5261988535959152,-3.064377316522627,-0.3281523035572107,-0.21288804729726163,-1.3764004482049723,-0.7953396109001735,-0.6446887629418645,0.25220227765860853,-0.3051983836538774,-0.5366794681690887,-2.559027522869237,-2.9430914636549135,-5.237592657052009,0.6244780595521935,-1.3156828425437825,-1.4052302013371127,-3.0456226085866165,-0.5118507503039202,-3.312267010187541,-1.2208052971990424,-0.9933281319570098,-3.5176421178589123,0.2343415601013975,-3.5782372481692875,-3.7813856681198645
ABCA7,-0.1750834760268174,0.6184866799307533,-0.26604780352986923,1.681317584379026,1.3791285651573935,-0.022860978259564124,-0.2040046632497754,0.15672988146092104,-1.3256069706694462,-0.03404103004155523,-0.44441824948890263,-0.05118825959520379,0.7997365361896818,-0.044764142402001994,-1.3257163172102548,0.051430381318373186,-0.9411405700416626,-1.5821479922346358,0.6784880713093719,0.9506723843607334,1.5472288018176354,-1.1532319074223447,-0.3275954092554527,0.8347141271859733,-0.483063005275048,0.34675228247492296,0.22537461114458557,-1.154349961166301,0.1856188345497065,1.1989276087453198,-0.03553231386193145
ABCA8,-2.288186566593206,-3.2587764887384134,-4.042489287592256,-3.6724667144615584,-2.9699016116339845,-3.9645931060332487,0.1520342402456586,-3.7165322673394323,0.3614520573055615,-1.3406595762545153,-1.905476947889138,-1.4854988740981914,-0.5299428047695975,-3.6896656533719994,0.5059182540924123,-1.7214673600714119,-3.5124997414022063,-4.195453426641961,-5.944388079036088,0.27414003963004596,-4.228683675357169,-1.5715320812075493,-3.891290026422443,-0.24258671833915768,-3.3527008535801865,-2.3619792068799645,-4.2695946506718965,-2.990470989232777,0.40584585626143427,-3.926570873093325,-3.6407858694547173
ABCA12,-0.015450923053968363,0.3948433604792703,0.8629325850303888,1.3346517494763686,0.17844491413984226,-0.0292191521060165,-1.5494493666058126e-09,2.0613462527812785,0.0763021857858137,0.9605043599174086,-0.0453050101576505,0.7429630119505414,1.044086698992559,0.03372463752590994,0.0452891588414614,-2.2359292587843495e-10,1.0365430022200153,1.7253348950766052,0.0323807218364032,0.5058783732081746,0.052227508373530525,-0.0300637960100361,-0.017543726439721,-0.0150438862320161,-3.578466806044813,0.3346873799157316,-0.5592093316518829,0.0270523017414871,0.04848652003846691,0.1234530404198034,0.062303599262330006
ABCA13,0.0182563753617802,0.0323485158255869,-0.07563785119154501,0.9607597295510907,-0.013568074409224203,0.08668293611808642,-0.2079070679828608,1.3150209571086142,0.37919414719768035,0.7085661469713644,-0.3506414506071772,-0.30482116771732193,0.04348961354432487,0.4698448285525339,0.07802715186953689,-0.0862694267808849,0.24521979218096557,2.41574112341279,0.34598155530039904,0.36229125775212506,-0.03193079214493503,-0.014811390574097198,0.09140605879018461,0.0161736345538026,-0.09237561574724878,0.26497857100192557,-1.3025484360745336,-0.8745138991004556,-0.11486562967017251,0.2370565736943424,0.148760208417971
ABCB1,-1.8216368447795874,-1.4645571182589976,-1.6890906794354235,-2.166975516311764,-0.5976067837843404,0.8857248808645641,0.8623335945919725,-0.8633663158148897,-0.2341720367733502,-0.18863362701320907,-3.943603355563534,-1.383989931678407,1.1511348968177808,1.6093456514199223,0.2899875088959196,0.7597160019662943,-0.9040228155251469,-1.326862087526266,-1.7648234590224896,1.899916545851962,-3.4077067478359764,-0.5794319887454802,1.3354702660630675,-2.9971050363173584,-0.14583537903170674,0.2597457115774289,-1.283132415283377,-0.9759052596748072,0.4167464161541419,-2.8528767021359434,-3.374669553236716
ABCB4,0.002575820163875253,-0.5438933333016054,0.1956026859420309,-0.12031129368487542,-5.194810708799063,-0.2268331662492873,1.867510559835381,-0.14617393496937403,1.3009203841462222,-0.11108005319368064,-0.20283932408395977,1.2028065905756131,1.038697163938144,0.21027434026485464,0.7516812055852565,-0.45035018469648147,0.4811968305392742,0.1159642231869919,-0.3372085965230969,1.1442533725811976,-2.167464849098433,-0.18890542278126876,-0.15382321399852272,-0.06299128097377071,1.1432476125471387,0.36904843685472827,-0.37532603290781297,-0.3567794734940162,0.38123448509865393,0.15017767604764093,0.6404275505650019
